1, 930
2, 202
3, 638
4, 704
5, 454
6, 245
7, 888
8, 333
9, 797
10, 397
11, 443
12, 967
13, 709
14, 964
15, 982
16, 816
17, 919
18, 869
19, 959
20, 470
21, 998
22, 894
23, 337
24, 753
25, 441
26, 220
27, 779
28, 361
29, 432
30, 950
31, 434
32, 927
33, 971
34, 802
35, 542
36, 823
37, 291
38, 512
39, 549
40, 663
41, 801
42, 466
43, 239
44, 225
45, 457
46, 669
47, 428
48, 967
49, 691
50, 311
51, 840
52, 786
53, 951
54, 379
55, 277
56, 733
57, 555
58, 728
59, 512
60, 981
61, 671
62, 658
63, 485
64, 911
65, 452
66, 943
67, 251
68, 602
69, 664
70, 549
71, 226
72, 979
73, 985
74, 858
75, 401
76, 618
77, 395
78, 380
79, 224
80, 749
81, 752
82, 385
83, 858
84, 305
85, 411
86, 580
87, 494
88, 610
89, 421
90, 974
91, 833
92, 226
93, 402
94, 269
95, 892
96, 601
97, 707
98, 668
99, 917
100, 492
101, 959
102, 370
103, 478
104, 587
105, 532
106, 662
107, 587
108, 282
109, 211
110, 224
111, 962
112, 383
113, 918
114, 557
115, 401
116, 352
117, 577
118, 913
119, 745
120, 704
121, 585
122, 711
123, 596
124, 757
125, 525
126, 413
127, 972
128, 952
129, 699
130, 344
131, 400
132, 257
133, 719
134, 568
135, 821
136, 400
137, 964
138, 728
139, 659
140, 834
141, 256
142, 209
143, 596
144, 518
145, 780
146, 664
147, 664
148, 265
149, 793
150, 459
151, 546
152, 590
153, 817
154, 430
155, 552
156, 207
157, 543
158, 994
159, 261
160, 354
161, 500
162, 377
163, 563
164, 914
165, 814
166, 287
167, 287
168, 352
169, 368
170, 225
171, 423
172, 965
173, 559
174, 615
175, 666
176, 350
177, 732
178, 766
179, 529
180, 466
181, 526
182, 898
183, 623
184, 792
185, 365
186, 874
187, 242
188, 494
189, 473
190, 885
191, 561
192, 774
193, 953
194, 851
195, 406
196, 651
197, 931
198, 648
199, 666
200, 872
201, 635
202, 206
203, 596
204, 746
205, 427
206, 309
207, 776
208, 776
209, 606
210, 498
211, 294
212, 272
213, 374
214, 923
215, 723
216, 849
217, 526
218, 997
219, 485
220, 853
221, 402
222, 991
223, 521
224, 341
225, 419
226, 288
227, 497
228, 558
229, 428
230, 992
231, 872
232, 507
233, 708
234, 616
235, 221
236, 883
237, 914
238, 853
239, 794
240, 750
241, 271
242, 372
243, 389
244, 226
